notes,alga,timing,herbaceous,parasite,cellularity,organelles,species,mt,pt,mtnorm,ptnorm,clade
climbing woody vine,no,perennial,no,no,multi,,cynanchum auriculatum,24,76,-7.292517007,3.673469388,Viridiplantae
red alga,yes,NA,NA,no,multi,,dasya binghamiae,22,157,-1.166666667,-6.033333333,Rhodophyta
Yellow-brown alga,yes,NA,NA,no,multi,,dictyopteris divaricata,34,118,0,1.222222222,Phaeophyceae
diatom “rock snot”,yes,NA,NA,no,uni,,didymosphenia geminata,33,116,0.727272727,5.181818182,Bacillariophyta
american flower,no,perennial,yes,no,multi,,diplostephium hartwegii,35,76,3.707482993,3.673469388,Viridiplantae
flower,no,perennial,yes,no,multi,,dorcoceras hygrometricum,30,72,-1.292517007,-0.326530612,Viridiplantae
halophile green alga,yes,NA,NA,no,uni,,dunaliella salina,7,63,-24.29251701,-9.326530612,Viridiplantae
grass,no,annual,yes,no,multi,,eleusine indica,33,75,1.707482993,2.673469388,Viridiplantae
brown alga,yes,NA,NA,no,multi,,endarachne binghamiae,34,120,0,3.222222222,Phaeophyceae
green alga,yes,NA,NA,no,?filament,,entransia fimbriata,32,82,0.707482993,9.673469388,Viridiplantae
loquat fruit,no,perennial,no,no,multi,,eriobotrya japonica,33,75,1.707482993,2.673469388,Viridiplantae
gum tree,no,perennial,no,no,multi,,eucalyptus grandis,37,67,5.707482993,-5.326530612,Viridiplantae
Freshwater diatom,yes,NA,NA,no,uni,,eunotia naegelii,33,120,0.727272727,9.181818182,Bacillariophyta
marine diatom,yes,NA,NA,no,uni,,fistulifera solaris,33,113,0.727272727,2.181818182,Bacillariophyta
brown seaweed,yes,NA,NA,no,multi,,fucus vesiculosus,34,121,0,4.222222222,Phaeophyceae
unicell extremophile rhodophyte,yes,NA,NA,no,uni,,galdieria sulphuraria,18,154,-5.166666667,-9.033333333,Rhodophyta
red algae,yes,NA,NA,no,multi,,gelidium coulteri,23,164,-0.166666667,0.966666667,Rhodophyta
red algae,yes,NA,NA,no,multi,,gelidium gabrielsonii,23,164,-0.166666667,0.966666667,Rhodophyta
red algae,yes,NA,NA,no,multi,,gelidium galapagense,23,164,-0.166666667,0.966666667,Rhodophyta
red algae,yes,NA,NA,no,multi,,gelidium kathyanniae,23,164,-0.166666667,0.966666667,Rhodophyta
red algae,yes,NA,NA,no,multi,,gelidium sinicola,23,164,-0.166666667,0.966666667,Rhodophyta
red algae,yes,NA,NA,no,multi,,gelidium vagum,23,164,-0.166666667,0.966666667,Rhodophyta
madeiran flower,no,biennial,yes,no,multi,,geranium maderense,27,74,-4.292517007,1.673469388,Viridiplantae
gymnosperm tree,no,perennial,no,no,multi,,ginkgo biloba,40,79,8.707482993,6.673469388,Viridiplantae
unicellular alga,yes,NA,NA,no,uni,Blue-green CP,gloeochaete wittrockiana,32,108,0,0,Glaucocystophyceae
soybean,no,annual,yes,no,multi,,glycine max,32,74,0.707482993,1.673469388,Viridiplantae
wild soybean,no,annual,yes,no,multi,,glycine soja,31,74,-0.292517007,1.673469388,Viridiplantae
green alga colonial 4-16 cell,yes,NA,NA,no,colonial,,gonium pectorale,7,61,-24.29251701,-11.32653061,Viridiplantae
cotton,no,perennial,no,no,multi,,gossypium arboreum,36,74,4.707482993,1.673469388,Viridiplantae
cotton,no,perennial,no,no,multi,,gossypium barbadense,36,75,4.707482993,2.673469388,Viridiplantae
cotton,no,perennial,no,no,multi,,gossypium davidsonii,36,75,4.707482993,2.673469388,Viridiplantae
cotton,no,perennial,no,no,multi,,gossypium harknessii,32,75,0.707482993,2.673469388,Viridiplantae
cotton,no,perennial,no,no,multi,,gossypium hirsutum,33,74,1.707482993,1.673469388,Viridiplantae
cotton,no,perennial,no,no,multi,,gossypium raimondii,36,74,4.707482993,1.673469388,Viridiplantae
cotton,no,perennial,no,no,multi,,gossypium thurberi,36,74,4.707482993,1.673469388,Viridiplantae
cotton,no,perennial,no,no,multi,,gossypium trilobum,36,75,4.707482993,2.673469388,Viridiplantae
red alga,yes,NA,NA,no,multi,,gracilaria ferox,24,162,0.833333333,-1.033333333,Rhodophyta
red alga,yes,NA,NA,no,multi,,gracilaria gracilis,24,162,0.833333333,-1.033333333,Rhodophyta
